InstanceType,memory_gb,network,vcpu
t2.nano,0.5,Low,1
m1.large,7.5,Moderate,2
m1.small,1.7,Low,1
c1.medium,1.7,Moderate,2
m1.xlarge,15.0,High,4
t1.micro,0.613,Very Low,1
hs1.8xlarge,117.0,10 Gigabit,17
f1.16xlarge,976.0,20 Gigabit,64
m2.2xlarge,34.2,Moderate,4
cc2.8xlarge,60.5,10 Gigabit,32
c1.xlarge,7.0,High,8
